setting,variant,n_L,label_unit,arm,estimand,population,gene,estimator,variance,n_draws,n_finite,frac_nonfinite,coverage,width_mean,width_median,nominal,theta_full,cluster_variance_form,df_cluster,status
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,GPNMB,pp,cluster,200,200.0,0.0,0.93,0.48091716124659784,0.4999357265989546,0.9,0.11258529270561994,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,GPNMB,pp,boot,200,200.0,0.0,0.845,0.37156124463182666,0.3794930074833718,0.9,0.11258529270561994,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,H3F3A,classical,iid,200,200.0,0.0,0.03,0.024580055566315442,0.022922193827465617,0.9,0.19646684360897854,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,H3F3A,classical,cluster,200,200.0,0.0,0.94,0.8551269270127517,0.851601463620318,0.9,0.19646684360897854,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,H3F3A,classical,boot,200,200.0,0.0,0.88,0.6843161054065574,0.6887599720604445,0.9,0.19646684360897854,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,H3F3A,pp,iid,200,200.0,0.0,0.12,0.01772762521443855,0.01689829031566431,0.9,0.19646684360897854,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,H3F3A,pp,cluster,200,200.0,0.0,0.965,0.47422770639722506,0.4379763353320688,0.9,0.19646684360897854,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,H3F3A,pp,boot,200,200.0,0.0,0.95,0.3828510983010135,0.35370007257004504,0.9,0.19646684360897854,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HMOX1,classical,iid,200,200.0,0.0,0.06,0.019169049021681803,0.019317496133336942,0.9,0.11803724844944885,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HMOX1,classical,cluster,200,200.0,0.0,0.88,0.6914116135375759,0.7089710570126319,0.9,0.11803724844944885,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HMOX1,classical,boot,200,200.0,0.0,0.84,0.519776786863468,0.5337247158994732,0.9,0.11803724844944885,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HMOX1,pp,iid,200,200.0,0.0,0.08,0.015543517237848446,0.015621677931967823,0.9,0.11803724844944885,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HMOX1,pp,cluster,200,200.0,0.0,0.975,0.4102166236450019,0.4085645539557554,0.9,0.11803724844944885,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HMOX1,pp,boot,200,200.0,0.0,0.955,0.31325608924675763,0.31063944912793706,0.9,0.11803724844944885,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HNRNPK,classical,iid,200,200.0,0.0,0.04,0.026870816190613652,0.025666871083294393,0.9,0.21911054753683695,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HNRNPK,classical,cluster,200,200.0,0.0,0.935,0.9335103086532277,0.9119830378059655,0.9,0.21911054753683695,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HNRNPK,classical,boot,200,200.0,0.0,0.9,0.737067197846855,0.7238650820455692,0.9,0.21911054753683695,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HNRNPK,pp,iid,200,200.0,0.0,0.11,0.019030505995299256,0.01863296707711601,0.9,0.21911054753683695,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HNRNPK,pp,cluster,200,200.0,0.0,0.985,0.5091211976514702,0.5009961778202314,0.9,0.21911054753683695,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HNRNPK,pp,boot,200,200.0,0.0,0.975,0.4084632682196163,0.39741910640341505,0.9,0.21911054753683695,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HSPA1A,classical,iid,200,200.0,0.0,0.04,0.024258555517151295,0.02421193463236293,0.9,-0.01754322716414921,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HSPA1A,classical,cluster,200,200.0,0.0,0.905,0.9510797989934017,0.9367804011566853,0.9,-0.01754322716414921,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HSPA1A,classical,boot,200,200.0,0.0,0.845,0.7139245436270306,0.6956081283335322,0.9,-0.01754322716414921,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HSPA1A,pp,iid,200,200.0,0.0,0.055,0.01945153056170859,0.01922450853864205,0.9,-0.01754322716414921,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HSPA1A,pp,cluster,200,200.0,0.0,1.0,0.6106007909417392,0.516135428633888,0.9,-0.01754322716414921,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HSPA1A,pp,boot,200,200.0,0.0,0.985,0.4668527762538586,0.4058786111834914,0.9,-0.01754322716414921,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HTRA1,classical,iid,200,200.0,0.0,0.05,0.0321183372901011,0.031553635449401984,0.9,0.14933265380766167,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HTRA1,classical,cluster,200,200.0,0.0,0.89,1.2688314847651876,1.2488526637086377,0.9,0.14933265380766167,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HTRA1,classical,boot,200,200.0,0.0,0.86,0.9556771378857875,0.9480667637740814,0.9,0.14933265380766167,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HTRA1,pp,iid,200,200.0,0.0,0.065,0.02475801485384028,0.023734738966189606,0.9,0.14933265380766167,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HTRA1,pp,cluster,200,200.0,0.0,0.99,0.8229355634373434,0.8188599891116336,0.9,0.14933265380766167,separate,5.0,ok
