encoder,task,label_set,design,arm,fold,cal_draw,score,calibration_unit,n_T,n_C,n_E,n_test_slides,coverage,width_mean,interval_score,miss_above,miss_below,q_alpha_mean,quantile_infinite,superseded_label_set
uni_v2,CCRCC,shipped,donor,anchor_a1,INT6,1,abs,donor,35996,19422,1678,1,0.900405244338498,2.2235649790188075,2.9047957353256515,0.0940524433849821,0.005542312276519666,1.1117824895094033,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT6,1,scaled,donor,35996,19422,1678,1,0.8853158522050057,2.070464565477897,2.890348809166221,0.11185935637663885,0.002824791418355185,2.7481101474418823,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT6,1,abs,donor,24211,7814,1678,1,0.8910369487485102,2.2093615561272513,3.0087929931449198,0.10549463647199049,0.0034684147794994042,1.1046807780636263,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT6,1,scaled,donor,24211,7814,1678,1,0.8660548271752085,1.9991372945399095,3.0400913256211384,0.1316090584028605,0.0023361144219308703,2.7626587865943275,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT6,1,abs,block,24211,7814,1678,1,0.7985816448152565,1.5555115798601624,3.1922353285410257,0.18323003575685334,0.018188319427890353,0.777755789930076,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT6,1,scaled,block,24211,7814,1678,1,0.7712753277711564,1.4040061233581904,3.3770383567878475,0.2165911799761621,0.012133492252681764,1.9149719049879308,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT6,2,abs,donor,35996,19847,1678,1,0.8562097735399287,1.9377218808656658,2.655899972820441,0.04887961859356377,0.09491060786650773,0.9688609404328384,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT6,2,scaled,donor,35996,19847,1678,1,0.9050536352800954,2.1377037565576815,2.606537455885621,0.04321811680572111,0.05172824791418357,2.365711871026412,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT6,2,abs,donor,24188,7920,1678,1,0.84554231227652,1.921208959540456,2.6935035567994787,0.044731823599523234,0.10972586412395709,0.9606044797702302,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT6,2,scaled,donor,24188,7920,1678,1,0.9001072705601909,2.1384348423297994,2.6264792749190855,0.03880810488676997,0.061084624553039334,2.4131727852605285,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT6,2,abs,block,24188,7920,1678,1,0.7682717520858168,1.6068441309357815,2.8707351989197503,0.06292014302741358,0.16880810488677,0.8034220654678902,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT6,2,scaled,block,24188,7920,1678,1,0.8209535160905841,1.7396997377506878,2.636781746509609,0.056436233611442184,0.1226102502979738,1.961675582422861,False,False
