encoder,task,label_set,design,arm,fold,cal_draw,score,calibration_unit,n_T,n_C,n_E,n_test_slides,coverage,width_mean,interval_score,miss_above,miss_below,q_alpha_mean,quantile_infinite
hoptimus0,IDC,shipped,donor,C_unit,IDC_shipped_patient_2,0,scaled,donor,5221,1474,7760,1,0.8647912371134019,73.46269900151202,77.07404350886566,0.11912113402061865,0.01608762886597938,49.93822682566559,False
hoptimus0,IDC,shipped,donor,C_block,IDC_shipped_patient_2,0,abs,block,5221,1474,7760,1,0.6143582474226804,1.9588332090380762,10.623433111574718,0.30585051546391756,0.07979123711340205,0.9794166045190832,False
hoptimus0,IDC,shipped,donor,C_block,IDC_shipped_patient_2,0,scaled,block,5221,1474,7760,1,0.6400154639175258,2.103875602534401,10.241681225729216,0.29762886597938154,0.0623556701030928,2.2401541390606328,False
hoptimus0,IDC,shipped,donor,anchor_a1,IDC_shipped_patient_2,1,abs,donor,7015,3005,7760,1,0.8240927835051548,3.695340524329714,6.77014675518596,0.14213917525773198,0.033768041237113404,1.847670262164838,False
hoptimus0,IDC,shipped,donor,anchor_a1,IDC_shipped_patient_2,1,scaled,donor,7015,3005,7760,1,0.8568917525773198,4.486945572694295,6.657750020975005,0.1169304123711341,0.02617783505154639,5.003474763899091,False
hoptimus0,IDC,shipped,donor,C_unit,IDC_shipped_patient_2,1,abs,donor,5182,1549,7760,1,0.8298247422680411,3.737699823731162,6.607805836399989,0.13746649484536083,0.032708762886597936,1.8688499118655497,False
hoptimus0,IDC,shipped,donor,C_unit,IDC_shipped_patient_2,1,scaled,donor,5182,1549,7760,1,0.8528737113402061,4.4532734796630224,6.669278215760718,0.11757989690721651,0.029546391752577318,4.880961911912575,False
hoptimus0,IDC,shipped,donor,C_block,IDC_shipped_patient_2,1,abs,block,5182,1549,7760,1,0.6482139175257732,2.073707117207342,10.156197413830418,0.2833041237113402,0.06848195876288661,1.0368535586036578,False
hoptimus0,IDC,shipped,donor,C_block,IDC_shipped_patient_2,1,scaled,block,5182,1549,7760,1,0.6705231958762884,2.2596059186037545,9.778126309828592,0.2710000000000001,0.05847680412371134,2.2735562616018323,False
hoptimus0,IDC,shipped,donor,anchor_a1,IDC_shipped_patient_2,2,abs,donor,7015,4010,7760,1,0.8959587628865978,4.949879212194626,7.7817946662066335,0.09129639175257732,0.012744845360824743,2.4749396060972724,False
